GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B79AA125,B79AA125M
"G0800150","2008-2012","Colorado","08","080","Chaffee County","015","0150","Chaffee County, Colorado",45713,2384
"G0800170","2008-2012","Colorado","08","080","Cheyenne County","017","0170","Cheyenne County, Colorado",50357,9249
"G0800190","2008-2012","Colorado","08","080","Clear Creek County","019","0190","Clear Creek County, Colorado",60517,7690
"G0800210","2008-2012","Colorado","08","080","Conejos County","021","0210","Conejos County, Colorado",32860,3491
"G0800230","2008-2012","Colorado","08","080","Costilla County","023","0230","Costilla County, Colorado",25309,3731
"G0800250","2008-2012","Colorado","08","080","Crowley County","025","0250","Crowley County, Colorado",38507,4518
"G0800270","2008-2012","Colorado","08","080","Custer County","027","0270","Custer County, Colorado",42534,14026
"G0800290","2008-2012","Colorado","08","080","Delta County","029","0290","Delta County, Colorado",42786,1738
"G0800310","2008-2012","Colorado","08","080","Denver County","031","0310","Denver County, Colorado",49091,774
"G0800330","2008-2012","Colorado","08","080","Dolores County","033","0330","Dolores County, Colorado",43098,9362
"G0800350","2008-2012","Colorado","08","080","Douglas County","035","0350","Douglas County, Colorado",101108,1569
"G0800370","2008-2012","Colorado","08","080","Eagle County","037","0370","Eagle County, Colorado",71030,3988
"G0800390","2008-2012","Colorado","08","080","Elbert County","039","0390","Elbert County, Colorado",80811,3920
"G0800410","2008-2012","Colorado","08","080","El Paso County","041","0410","El Paso County, Colorado",57531,761
"G0800430","2008-2012","Colorado","08","080","Fremont County","043","0430","Fremont County, Colorado",40893,1899
"G0800450","2008-2012","Colorado","08","080","Garfield County","045","0450","Garfield County, Colorado",60215,4029
"G0800470","2008-2012","Colorado","08","080","Gilpin County","047","0470","Gilpin County, Colorado",62286,6949
"G0800490","2008-2012","Colorado","08","080","Grand County","049","0490","Grand County, Colorado",64416,5594
"G0800510","2008-2012","Colorado","08","080","Gunnison County","051","0510","Gunnison County, Colorado",50091,5127
"G0800530","2008-2012","Colorado","08","080","Hinsdale County","053","0530","Hinsdale County, Colorado",54844,15598
"G0800550","2008-2012","Colorado","08","080","Huerfano County","055","0550","Huerfano County, Colorado",32754,3548
